PID,QuestionID,Subtheme,Codes,QuoteCandidate,Text
P38,Q10_effects,Disturbing content exposure,"disturbing_content; violent_content",Y,"I've come across content that was violent like images of injuries. Even if it's part of the task, it can be really hard to process emotionally, especially when I'm doing this work for hours. Sometimes abuse related text that was very disturbing."
P39,Q10_effects,Disturbing content exposure,disturbing_content,N,"avoid generating potentially harmful content, which can be categorized as disturbing or offensive."
P40,Q10_effects,Positive content experience,,N,"NO"
P40,Q12_challenges,Ethical concerns,,Y,"Data annotation, while crucial for AI development, presents several ethical challenges. These include concerns about privacy, bias, and the potential for exploitation of annotators"
P41,Q10_effects,Positive content experience,,N,"no"
P44,Q10_effects,Disturbing content exposure,disturbing_content,Y,"I think as a data labeler or content moderator, encountering disturbing or harmful content is unfortunately a common aspect of the job. The nature of the content can vary widely, but many workers have reported exposure to graphic violence, child abuse, self-harm, and other traumatic material."
P44,Q12_challenges,Ethical concerns,,Y,"I think as a data annotator, several ethical challenges have emerged, reflecting broader issues in the field. One significant concern is the potential for emotional strain due to exposure to disturbing or harmful content, which can lead to psychological distress. Additionally, the lack of transparency regarding task acceptance criteria, rating systems, and payment rules can create confusion and mistrust among workers. Furthermore, the pressure to meet quotas and the absence of adequate support mechanisms can contribute to burnout and decreased job satisfaction."
P45,Q10_effects,Disturbing content exposure,"disturbing_content; hate_speech",Y,"What kinds of disturbing content people might encounter Graphic violence or gore Sexual content involving minors or exploitation Abusive, hateful, or demeaning material Realistic depictions of abuse, crime, or trauma"
P46,Q10_effects,Disturbing content exposure,"disturbing_content; violent_content; work_stress; mental_impact; content_warnings",N,"I have occasionally come across content that is graphic, violent, or offensive. It can be unsettling and emotionally draining, especially if the content is particularly graphic. Some platforms provide warnings or filtering tools, but not all do, and repeated exposure can affect mood or mental energy. I try to take short breaks or step away when needed to cope with the stress."
P47,Q10_effects,Positive content experience,,N,"Nothing"
P48,Q10_effects,Disturbing content exposure,"disturbing_content; content_warnings; support_available",N,"I have encountered graphic and offensive content that was emotionally unsettling, and while Amazon Mechanical Turk occasionally gives content warnings, there are limited filters or support tools to help manage the impact."
P49,Q10_effects,Disturbing content exposure,"disturbing_content; content_warnings",N,"Saw graphic, offensive content; unsettling; few warnings or filters."
P50,Q10_effects,Disturbing content exposure,"disturbing_content; hate_speech; mental_impact",Y,"What people might encounter Graphic violence or abuse Harassment, hate speech, or threats Sexual content involving exploitation or minors Self-harm or suicide-related material Manipulative scams or misinformation that causes fear Disturbing deepfakes or emotionally triggering content Common emotional and mental responses"
